number,state,created_at,merged_at,closed_at,title,time_to_merge
27564,closed,2024-10-15 15:44:08+00:00,2024-10-15 17:52:34+00:00,2024-10-15 17:52:34+00:00,build: satisfy gcc-13 pendantic errors,2.1405555555555558
27563,closed,2024-10-15 15:27:25+00:00,2024-10-15 17:43:11+00:00,2024-10-15 17:43:11+00:00,bug: weighted quantile for some zero weights (#27549),2.262777777777778
27562,closed,2024-10-15 15:21:29+00:00,2024-10-15 17:42:19+00:00,2024-10-15 17:42:19+00:00,bld: update vendored meson to 1.5.2 ,2.3472222222222223
27561,closed,2024-10-15 14:37:42+00:00,2024-10-15 15:15:03+00:00,2024-10-15 15:15:03+00:00,dev: bump ``python`` to 3.12 in environment.yml,0.6225
27560,closed,2024-10-15 13:25:18+00:00,2024-10-15 15:14:51+00:00,2024-10-15 15:14:51+00:00,ci: start building windows free-threaded wheels,1.8258333333333334
27558,closed,2024-10-15 08:34:00+00:00,2024-10-15 09:30:32+00:00,2024-10-15 09:30:32+00:00,maint: distutils: remove obsolete search for `ecc` executable,0.9422222222222222
27557,closed,2024-10-15 03:17:32+00:00,2024-10-16 05:08:20+00:00,2024-10-16 05:08:20+00:00,"bug: fix warning ""differs in levels of indirection"" in npy_atomic.h with msvc",25.846666666666668
27556,closed,2024-10-14 22:58:13+00:00,2024-10-18 07:18:09+00:00,2024-10-18 07:18:09+00:00,doc: clarify use of standard deviation in mtrand.pyx,80.33222222222223
27555,closed,2024-10-14 20:53:22+00:00,2024-10-15 08:15:01+00:00,2024-10-15 08:15:01+00:00,dev: bump ``python`` to 3.12 in environment.yml,11.360833333333334
27553,closed,2024-10-14 19:42:52+00:00,2024-10-14 20:19:52+00:00,2024-10-14 20:19:52+00:00,bld: rename `meson_options.txt` to `meson.options`,0.6166666666666667
27551,closed,2024-10-14 17:11:55+00:00,2024-10-14 18:56:08+00:00,2024-10-14 18:56:09+00:00,maint: bump github/codeql-action from 3.26.12 to 3.26.13,1.7369444444444444
27550,closed,2024-10-14 12:00:44+00:00,2024-10-15 14:25:14+00:00,2024-10-15 14:25:14+00:00,bld: update vendored meson to 1.5.2,26.408333333333335
27549,closed,2024-10-14 10:15:22+00:00,2024-10-14 12:26:29+00:00,2024-10-14 12:26:29+00:00,bug: weighted quantile for some zero weights,2.185277777777778
27543,closed,2024-10-11 15:18:47+00:00,2024-10-11 16:52:19+00:00,2024-10-11 16:52:19+00:00,bug: fix user dtype can-cast with python scalar during promotion,1.558888888888889
27539,closed,2024-10-09 18:53:04+00:00,2024-10-09 20:04:47+00:00,2024-10-09 20:04:47+00:00,maint: msvc does not support #warning directive,1.1952777777777779
27538,closed,2024-10-09 18:46:11+00:00,2024-10-09 20:04:17+00:00,2024-10-09 20:04:17+00:00,maint: bump pypa/cibuildwheel from 2.21.2 to 2.21.3,1.3016666666666667
27537,closed,2024-10-09 17:33:48+00:00,2024-10-09 18:38:25+00:00,2024-10-09 18:38:25+00:00,maint: bump actions/cache from 4.0.2  to 4.1.1,1.0769444444444445
27536,closed,2024-10-09 17:30:24+00:00,2024-10-09 18:38:10+00:00,2024-10-09 18:38:10+00:00,maint: bump actions/upload-artifact from 4.4.1 to 4.4.3,1.1294444444444445
27535,closed,2024-10-09 17:30:18+00:00,2024-10-09 18:37:34+00:00,2024-10-09 18:37:34+00:00,maint: bump pypa/cibuildwheel from 2.21.2 to 2.21.3,1.1211111111111112
27534,closed,2024-10-09 15:58:00+00:00,2024-10-10 20:04:59+00:00,2024-10-10 20:04:59+00:00,bug: fix user dtype can-cast with python scalar during promotion,28.11638888888889
27532,closed,2024-10-08 17:30:36+00:00,2024-10-08 18:19:16+00:00,2024-10-08 18:19:16+00:00,maint: bump actions/cache from 4.1.0 to 4.1.1,0.8111111111111111
27526,closed,2024-10-07 17:20:14+00:00,2024-10-07 18:53:02+00:00,2024-10-07 18:53:02+00:00,maint: bump github/codeql-action from 3.26.11 to 3.26.12,1.5466666666666666
27525,closed,2024-10-07 17:20:05+00:00,2024-10-07 18:31:21+00:00,2024-10-07 18:31:21+00:00,maint: bump actions/upload-artifact from 4.4.0 to 4.4.1,1.1877777777777778
27524,closed,2024-10-07 17:19:57+00:00,2024-10-07 18:31:01+00:00,2024-10-07 18:31:01+00:00,maint: bump actions/cache from 4.0.2 to 4.1.0,1.1844444444444444
27521,closed,2024-10-07 04:34:39+00:00,2024-10-07 16:42:27+00:00,2024-10-07 16:42:27+00:00,typ: fill in the missing ``__all__`` exports,12.13
27520,closed,2024-10-07 01:14:09+00:00,2024-10-07 18:53:34+00:00,2024-10-07 18:53:34+00:00,typ: remove unused imports in the stubs,17.656944444444445
27518,closed,2024-10-06 19:25:45+00:00,2024-10-07 16:45:09+00:00,2024-10-07 16:45:09+00:00,tst: add tests for np.nonzero with different input types,21.323333333333334
27517,closed,2024-10-06 17:26:42+00:00,2024-10-06 21:07:18+00:00,2024-10-06 21:07:18+00:00,bench: add benchmarks for np.non_zero,3.6766666666666667
27513,closed,2024-10-05 19:31:23+00:00,2024-10-06 16:02:15+00:00,2024-10-06 16:02:15+00:00,maint: update main after numpy 2.1.2 release,20.514444444444443
27512,closed,2024-10-05 19:06:00+00:00,2024-10-06 01:37:37+00:00,2024-10-06 01:37:38+00:00,maint: prepare 2.1.x for further development,6.526944444444444
27511,closed,2024-10-05 18:29:50+00:00,2024-10-06 15:56:59+00:00,2024-10-06 15:56:59+00:00,typ: annotate type aliases without annotation,21.4525
27510,closed,2024-10-05 17:28:02+00:00,2024-10-07 01:53:11+00:00,2024-10-07 01:53:11+00:00,typ: mark stub-only classes as `@type_check_only`,32.41916666666667
27508,closed,2024-10-05 04:15:40+00:00,2024-10-05 14:49:10+00:00,2024-10-05 14:49:11+00:00,maint: pin setuptools for testing [wheel build],10.558333333333334
27507,closed,2024-10-04 23:09:16+00:00,2024-10-05 04:13:55+00:00,2024-10-05 04:13:55+00:00,rel: prepare for the numpy 2.1.2 release [wheel build],5.0775
27506,closed,2024-10-04 21:13:26+00:00,2024-10-04 22:56:29+00:00,2024-10-04 22:56:29+00:00,bug: avoid segfault on bad arguments in ndarray.__array_function__,1.7175
27503,closed,2024-10-04 17:26:13+00:00,2024-10-04 18:21:02+00:00,2024-10-04 18:21:02+00:00,bug: avoid segfault on bad arguments in ndarray.__array_function__,0.9136111111111112
27502,closed,2024-10-04 17:25:33+00:00,2024-10-04 21:16:37+00:00,2024-10-04 21:16:38+00:00,maint: bump github/codeql-action from 3.26.10 to 3.26.11,3.851111111111111
27501,closed,2024-10-04 17:19:43+00:00,2024-10-04 21:01:54+00:00,2024-10-04 21:01:54+00:00,maint: bump pypa/cibuildwheel from 2.20.0 to 2.21.2,3.7030555555555558
27499,closed,2024-10-04 11:31:41+00:00,2024-10-07 17:54:38+00:00,2024-10-07 17:54:38+00:00,doc: fix missing arguments (copy and device) from asanyarray's signature,78.3825
27497,closed,2024-10-03 17:15:42+00:00,2024-10-07 06:59:47+00:00,2024-10-07 06:59:47+00:00,doc: correct selected c docstrings to eliminate warnings,85.73472222222222
27496,closed,2024-10-03 17:14:48+00:00,2024-10-03 18:07:38+00:00,2024-10-03 18:07:38+00:00,maint: bump mamba-org/setup-micromamba from 1.10.0 to 2.0.0,0.8805555555555555
27495,closed,2024-10-03 17:14:44+00:00,2024-10-03 18:08:22+00:00,2024-10-03 18:08:22+00:00,maint: bump pypa/cibuildwheel from 2.21.1 to 2.21.2,0.8938888888888888
27491,closed,2024-10-02 17:22:30+00:00,2024-10-02 19:06:37+00:00,2024-10-02 19:06:37+00:00,maint: bump mamba-org/setup-micromamba from 1.9.0 to 1.10.0,1.7352777777777777
27486,closed,2024-09-30 17:12:27+00:00,2024-09-30 20:09:51+00:00,2024-09-30 20:09:51+00:00,maint: bump scientific-python/upload-nightly-action from 0.5.0 to 0.6.1,2.9566666666666666
27485,closed,2024-09-30 17:12:24+00:00,2024-09-30 20:08:39+00:00,2024-09-30 20:08:39+00:00,maint: bump github/codeql-action from 3.26.9 to 3.26.10,2.9375
27484,closed,2024-09-30 16:23:30+00:00,2024-09-30 17:12:56+00:00,2024-09-30 17:12:57+00:00,bug: initialize the promotion state to be weak,0.8238888888888889
27481,closed,2024-09-30 15:13:14+00:00,2024-09-30 17:07:25+00:00,2024-09-30 17:07:25+00:00,maint: check for sve support on demand,1.9030555555555555
27480,closed,2024-09-30 15:03:41+00:00,2024-09-30 17:07:07+00:00,2024-09-30 17:07:07+00:00,ci: use pypi not scientific-python-nightly-wheels for ci doc build,2.0572222222222223
27479,closed,2024-09-30 15:00:40+00:00,2024-09-30 17:06:25+00:00,2024-09-30 17:06:25+00:00,bug: fix extra decref of pyarray_uint8dtype.,2.095833333333333
27478,closed,2024-09-30 13:26:35+00:00,2024-09-30 14:38:05+00:00,2024-09-30 14:38:05+00:00,bug: fix extra decref of pyarray_uint8dtype.,1.1916666666666667
27475,closed,2024-09-30 06:14:50+00:00,2024-09-30 08:19:57+00:00,2024-09-30 08:19:57+00:00,ci: use pypi not scientific-python-nightly-wheels for ci doc build,2.085277777777778
27472,closed,2024-09-29 17:11:17+00:00,2024-09-30 06:19:52+00:00,2024-09-30 06:19:52+00:00,maint: check for sve support on demand,13.143055555555556
27471,closed,2024-09-28 22:13:18+00:00,2024-09-29 00:02:15+00:00,2024-09-29 00:02:15+00:00,bug: rfftn axis bug,1.8158333333333334
27470,closed,2024-09-28 20:28:59+00:00,2024-10-14 22:17:50+00:00,2024-10-14 22:17:50+00:00,typ: add type stubs for stringdtype in np.char and np.strings,385.81416666666667
27469,closed,2024-09-28 13:56:51+00:00,2024-10-14 17:43:36+00:00,2024-10-14 17:43:36+00:00,doc: added ``contributing.rst``,387.77916666666664
27466,closed,2024-09-27 15:02:22+00:00,2024-09-28 16:58:59+00:00,2024-09-28 16:58:59+00:00,bug: rfftn axis bug,25.94361111111111
27465,closed,2024-09-26 18:25:05+00:00,2024-09-26 19:38:00+00:00,2024-09-26 19:38:00+00:00,doc: update ndindex reference in np.choose docstring,1.2152777777777777
27464,closed,2024-09-26 14:48:16+00:00,2024-09-26 15:14:48+00:00,2024-09-26 15:14:48+00:00,doc: fix a copy-paste mistake in the cumulative_sum docstring.,0.44222222222222224
27458,closed,2024-09-24 17:41:25+00:00,2024-09-24 19:45:51+00:00,2024-09-24 19:45:51+00:00,maint: bump github/codeql-action from 3.26.8 to 3.26.9,2.073888888888889
27454,closed,2024-09-23 10:08:20+00:00,2024-09-24 17:35:44+00:00,2024-09-24 17:35:44+00:00,doc: remove outdated versionadded/changed directives,31.456666666666667
27453,closed,2024-09-23 10:04:39+00:00,2024-09-25 15:49:58+00:00,2024-09-25 15:49:58+00:00,doc: added docstring for numpy.ma.take() function.,53.75527777777778
27448,closed,2024-09-23 08:51:29+00:00,2024-09-25 13:07:55+00:00,2024-09-25 13:07:55+00:00,doc: example for char.array,52.27388888888889
27445,closed,2024-09-23 08:27:59+00:00,2024-09-23 09:48:21+00:00,2024-09-23 09:48:21+00:00,doc: removed older versionadded directives to ufuncs.rst,1.3394444444444444
27444,closed,2024-09-23 08:26:59+00:00,2024-09-30 14:53:46+00:00,2024-09-30 14:53:46+00:00,tst: added the test case for masked array tofile failing,174.4463888888889
27443,closed,2024-09-23 08:23:24+00:00,2024-09-23 21:03:26+00:00,2024-09-23 21:03:26+00:00,updated the version of mean param from the release notes (2.0.0),12.667222222222222
27442,closed,2024-09-23 06:51:56+00:00,2024-09-23 09:56:11+00:00,2024-09-23 09:56:11+00:00,doc: remove old versionchanged directives from config.rst,3.0708333333333333
27441,closed,2024-09-23 06:35:18+00:00,2024-09-23 09:47:27+00:00,2024-09-23 09:47:27+00:00,doc: remove old versionadded comments from arrays.classes.rst,3.2025
27440,closed,2024-09-22 20:13:14+00:00,2024-09-23 13:10:35+00:00,2024-09-23 13:10:35+00:00,doc: add a link to the migration guide for the deprecation warning of the copy keyword,16.955833333333334
27439,closed,2024-09-22 17:19:51+00:00,2024-09-22 18:47:57+00:00,2024-09-22 18:47:57+00:00,bug: disable sve vqsort,1.4683333333333333
27438,closed,2024-09-22 16:01:15+00:00,2024-09-22 17:17:13+00:00,2024-09-22 17:17:13+00:00,bug: disable sve vqsort,1.2661111111111112
27437,closed,2024-09-22 15:33:38+00:00,2024-09-22 16:42:32+00:00,2024-09-22 16:42:32+00:00,bug: allow unsigned shift argument for np.roll,1.1483333333333334
27433,closed,2024-09-20 19:40:24+00:00,2024-09-20 23:00:27+00:00,2024-09-20 23:00:27+00:00,bld: pin setuptools to avoid breaking numpy.distutils,3.3341666666666665
27431,closed,2024-09-20 12:37:43+00:00,2024-09-21 18:16:16+00:00,2024-09-21 18:16:16+00:00,bug: allow unsigned shift argument for np.roll,29.6425
27430,closed,2024-09-20 09:41:38+00:00,2024-09-22 12:41:50+00:00,2024-09-22 12:41:50+00:00,typ: fix type of ``copy`` argument in ``ndarray.reshape``,51.00333333333333
27429,closed,2024-09-20 05:16:12+00:00,2024-09-20 12:39:02+00:00,2024-09-20 12:39:02+00:00,bld: pin setuptools to avoid breaking numpy.distutils,7.3805555555555555
27427,closed,2024-09-19 23:48:33+00:00,2024-09-20 00:46:23+00:00,2024-09-20 00:46:23+00:00,typ: fixed & improved type-hinting for ``any`` and ``all``,0.9638888888888889
27426,closed,2024-09-19 17:27:49+00:00,2024-09-20 00:47:16+00:00,2024-09-20 00:47:16+00:00,maint: bump github/codeql-action from 3.26.7 to 3.26.8,7.324166666666667
27425,closed,2024-09-19 06:41:29+00:00,2024-09-22 23:42:28+00:00,2024-09-22 23:42:28+00:00,maint: use correct python interpreter in tests,89.01638888888888
27424,closed,2024-09-18 18:19:45+00:00,2024-09-18 19:28:07+00:00,2024-09-18 19:28:07+00:00,doc: add release notes for #27334,1.1394444444444445
27423,closed,2024-09-18 17:54:04+00:00,2024-09-18 19:29:28+00:00,2024-09-18 19:29:28+00:00,typ: add missing type arguments,1.59
27421,closed,2024-09-18 13:59:39+00:00,2024-09-18 15:00:35+00:00,2024-09-18 15:00:35+00:00,bug: add regression test for gh-27273,1.0155555555555555
27420,closed,2024-09-18 13:24:37+00:00,2024-09-18 23:38:03+00:00,2024-09-18 23:38:03+00:00,typ: optional 2nd ``numpy.complexfloating`` type parameter,10.223888888888888
27419,closed,2024-09-18 13:00:24+00:00,2024-09-18 14:55:21+00:00,2024-09-18 14:55:21+00:00,typ: modernized ``numpy.dtypes`` annotations,1.9158333333333333
27418,closed,2024-09-18 11:55:27+00:00,2024-09-18 14:56:59+00:00,2024-09-18 14:56:59+00:00,typ: fix default return dtype of ``numpy.random.generator.integers`` with specified ``endpoint``,3.0255555555555556
27417,closed,2024-09-18 11:21:20+00:00,2024-09-18 14:58:51+00:00,2024-09-18 14:58:51+00:00,typ: allow callable ``converters`` arg in ``numpy.loadtxt``,3.625277777777778
27416,closed,2024-09-18 03:19:15+00:00,2024-09-18 04:35:32+00:00,2024-09-18 04:35:32+00:00,build: fix missing include for std::ptrdiff_t for c++23 language mode,1.271388888888889
27414,closed,2024-09-17 23:57:37+00:00,2024-09-18 00:15:01+00:00,2024-09-18 00:15:01+00:00,maint: add python 3.13 to classifiers,0.29
27412,closed,2024-09-17 17:09:24+00:00,2024-09-17 18:13:38+00:00,2024-09-17 18:13:38+00:00,maint: bump pypa/cibuildwheel from 2.21.0 to 2.21.1,1.0705555555555555
27408,closed,2024-09-16 23:33:44+00:00,2024-10-12 03:31:15+00:00,2024-10-12 03:31:15+00:00,doc: more informative _excluded_ argument explanation in np.vectorize,603.9586111111112
27406,closed,2024-09-16 18:05:49+00:00,2024-09-19 18:42:12+00:00,2024-09-19 18:42:12+00:00,bug: stub out ``get_build_msvc_version`` if ``distutils.msvccompiler`` cannot be imported ,72.60638888888889
27403,closed,2024-09-16 16:57:42+00:00,2024-09-19 06:48:35+00:00,2024-09-19 06:48:35+00:00,doc: fix minor issues in arrays.promotion.rst,61.848055555555554
27400,closed,2024-09-16 15:25:08+00:00,2024-09-17 16:48:21+00:00,2024-09-17 16:48:21+00:00,bug: apply critical sections around populating the dispatch cache,25.386944444444445
27392,closed,2024-09-13 20:47:52+00:00,2024-09-14 17:56:49+00:00,2024-09-14 17:56:49+00:00,bug: apply critical sections around populating the dispatch cache,21.149166666666666
27391,closed,2024-09-13 17:17:17+00:00,2024-09-13 18:16:04+00:00,2024-09-13 18:16:04+00:00,maint: bump pypa/cibuildwheel from 2.20.0 to 2.21.0,0.9797222222222223
27390,closed,2024-09-13 17:17:09+00:00,2024-09-13 18:15:29+00:00,2024-09-13 18:15:29+00:00,maint: bump github/codeql-action from 3.26.6 to 3.26.7,0.9722222222222222
27387,closed,2024-09-13 01:41:48+00:00,2024-09-26 07:45:33+00:00,2024-09-26 07:45:33+00:00,doc: clarify np.searchsorted documentation and add example for sorter,318.0625
27385,closed,2024-09-12 22:11:18+00:00,2024-09-19 06:23:06+00:00,2024-09-19 06:23:06+00:00,doc: update np.unique_all example to demonstrate namedtuple output,152.19666666666666
27384,closed,2024-09-12 21:43:11+00:00,2024-09-14 16:32:00+00:00,2024-09-14 16:32:00+00:00,maint: fix a few more typos,42.81361111111111
27381,closed,2024-09-12 14:02:02+00:00,2024-09-12 16:00:55+00:00,2024-09-12 16:00:55+00:00,doc: add vecdot to 'see also' of np.dot and np.inner,1.9813888888888889
27376,closed,2024-09-11 18:25:28+00:00,2024-09-11 19:21:43+00:00,2024-09-11 19:21:43+00:00,maint: fix a few typos - and sometimes improve wording,0.9375
27372,closed,2024-09-10 17:49:09+00:00,2024-09-10 18:53:32+00:00,2024-09-10 18:53:32+00:00,ci: update cirrus nightly token,1.0730555555555557
27369,closed,2024-09-10 12:51:20+00:00,2024-09-10 15:42:22+00:00,2024-09-10 15:42:22+00:00,doc: fix incorrect definitions,2.8505555555555557
27365,closed,2024-09-09 17:25:26+00:00,2024-09-09 20:01:55+00:00,2024-09-09 20:01:55+00:00,maint: bump deadsnakes/action from 3.1.0 to 3.2.0,2.6080555555555556
27364,closed,2024-09-09 16:38:49+00:00,2024-10-14 19:10:22+00:00,2024-10-14 19:10:22+00:00,doc: update np.*stack doc to reflect behavior,842.5258333333334
27363,closed,2024-09-09 12:48:49+00:00,2024-09-09 14:07:00+00:00,2024-09-09 14:07:00+00:00,doc: remove reshape from appearing twice in toctree,1.3030555555555556
27361,closed,2024-09-09 07:41:24+00:00,2024-09-09 13:41:26+00:00,2024-09-09 13:41:26+00:00,build: fix missing include for std::ptrdiff_t for c++23 language mode,6.000555555555556
27360,closed,2024-09-08 21:07:23+00:00,2024-09-13 08:24:49+00:00,2024-09-13 08:24:49+00:00,bug: fix _shrink edge case in np.ma.mask_or,107.29055555555556
27359,closed,2024-09-08 01:18:50+00:00,2024-09-09 13:43:47+00:00,2024-09-09 13:43:47+00:00,maint: fix typo in random.binomial ,36.41583333333333
27356,closed,2024-09-06 17:35:17+00:00,2024-09-06 18:28:33+00:00,2024-09-06 18:28:33+00:00,maint: bump actions/upload-artifact from 4.3.6 to 4.4.0,0.8877777777777778
27355,closed,2024-09-06 17:35:13+00:00,2024-09-06 18:27:51+00:00,2024-09-06 18:27:51+00:00,maint: bump actions/setup-python from 5.1.1 to 5.2.0,0.8772222222222222
27353,closed,2024-09-06 12:17:20+00:00,2024-09-10 22:10:28+00:00,2024-09-10 22:10:28+00:00,"mnt, ci: use separate jobs for wasm wheel builds/uploads",105.88555555555556
27347,closed,2024-09-05 07:58:07+00:00,2024-09-09 21:26:09+00:00,2024-09-09 21:26:09+00:00,doc: mention that c is reassigned but still points to a (quickstart),109.46722222222222
27346,closed,2024-09-04 19:49:48+00:00,2024-09-05 01:00:49+00:00,2024-09-05 01:00:49+00:00,"bug,typ: allow subscripting ``iinfo`` and ``finfo`` generic types at runtime, or omit the type params",5.183611111111111
27344,closed,2024-09-04 15:23:21+00:00,2024-09-11 15:11:18+00:00,2024-09-11 15:11:19+00:00,maint: fix typos,167.79916666666668
27335,closed,2024-09-03 23:08:21+00:00,2024-09-21 00:24:45+00:00,2024-09-21 00:24:45+00:00,enh: add ``allow_pickle`` flag to ``savez``,409.2733333333333
27334,closed,2024-09-03 16:58:45+00:00,2024-09-03 20:49:08+00:00,2024-09-03 20:49:08+00:00,typ: concrete ``float64`` and ``complex128`` scalar types with builtin bases,3.839722222222222
27333,closed,2024-09-03 16:24:39+00:00,2024-09-03 17:34:12+00:00,2024-09-03 17:34:12+00:00,maint: prepare 2.1.x for further development,1.1591666666666667
27332,closed,2024-09-03 16:07:59+00:00,2024-09-03 20:54:34+00:00,2024-09-03 20:54:34+00:00,maint: update main after 2.1.1 release.,4.776388888888889
27331,closed,2024-09-03 14:55:47+00:00,2024-09-06 10:37:54+00:00,2024-09-06 10:37:54+00:00,maint: github actions: replace deprecated macos-12 with macos-latest,67.70194444444445
27330,closed,2024-09-03 13:24:11+00:00,2024-09-06 16:34:26+00:00,2024-09-06 16:34:26+00:00,win-arm64 cross compile workflow,75.17083333333333
27328,closed,2024-09-02 21:23:45+00:00,2024-09-03 12:54:02+00:00,2024-09-03 12:54:02+00:00,rel: prepare for the numpy 2.1.1 release [wheel build],15.504722222222222
27326,closed,2024-09-02 17:42:32+00:00,2024-09-02 19:06:45+00:00,2024-09-02 19:06:45+00:00,maint: bump actions/upload-artifact from 4.3.6 to 4.4.0,1.4036111111111111
